,artiste,has_tweet,followers,fav,retweet,nbre tweet,tweet_freq
965,Hatebreed,True,284032,10133,2129,17953,11.88888888888889
966,Blaze Ya Dead Homie,True,67303,2247,470,8747,4.975903614457831
967,LOCASH,True,61467,2993,394,24303,10.705882352941176
968,Why Don't We,True,558834,2815148,382470,2916,9.722222222222221
969,NERO,True,438938,5620,1365,1671,0.48533333333333334
970,Brandon Flowers,True,281226,109362,51545,110,0.2579654510556622
971,Modern Baseball,True,95425,16696,2833,9949,1.0714285714285714
972,Big Smo,True,39015,5708,944,9568,1.4865810968494748
973,88rising,True,108720,217649,39973,2694,16.333333333333332
974,LeAnn Rimes,True,524722,15384,2198,94895,53.375
975,King Krule,False,0,0,0,0,0.0
976,R.E.M.,True,123758,27217,5755,2478,8.647058823529411
977,EXO,True,4233093,19661199,12650377,807,23.413793103448278
978,Jerry Garcia,True,21330,17098,3511,1406,6.451807228915663
979,Kem,True,133185,6739,2895,56728,441.0
980,Natalie Grant,True,299224,13876,1887,26055,4.2272727272727275
981,Z-Ro,True,187995,34703,13528,9301,4.191222570532916
982,The Internet,True,330003,227437,51259,14967,11.636363636363637
983,Barrett Baber,True,57143,2706,363,15345,6.753521126760563
984,Cheap Trick,True,91691,29425,6258,1210,2.518099547511312
985,Bilal,True,98410,2913,790,5361,0.7
986,Oh Wonder,True,180629,238635,25477,4398,4.707746478873239
987,Dropkick Murphys,True,127720,21256,3272,3462,3.3513513513513513
988,Superchunk,True,29475,1677,156,29472,34.36363636363637
989,August Burns Red,True,192156,22720,3404,5454,3.6552901023890785
990,Kylie Minogue,True,2281393,370254,54221,12115,9.02112676056338
991,Two Door Cinema Club,True,448935,156816,24176,4907,2.769230769230769
992,SoMo,True,264689,164217,30443,6083,4.191489361702128
993,Bullet For My Valentine,True,255434,52336,10156,4301,6.734177215189874
994,Angel Olsen,True,47791,56250,7355,591,1.2954022988505747
995,The Pretty Reckless,True,218495,20599,4431,1241,3.0408163265306123
996,Social Club Misfits,True,51211,15612,2248,41178,6.876106194690266
997,Killswitch Engage,True,190635,17288,3394,3818,2.194915254237288
998,Starbomb,True,324502,153393,21036,1395,0.45219638242894056
999,The Robertsons,True,101290,9829,674,5798,15.955882352941176
1000,Don Omar,False,0,0,0,0,0.0
1001,EDEN,True,134858,547946,94894,6061,4.897435897435898
1002,Emily Saliers,True,40803,12407,1377,3054,5.305555555555555
1003,Addison Agen,True,33671,61048,4025,549,3.6023391812865495
1004,Lucinda Williams,True,55416,2848,488,4661,1.8317757009345794
1005,Lucius,True,22493,4538,564,10882,3.78
1006,G Herbo & Southside,False,0,0,0,0,0.0
1007,Panda Bear,True,18981,11330,3643,187,0.7066001109262341
1008,Chevelle,True,128569,25796,2999,1705,2.3142857142857145
1009,Nick Cave & The Bad Seeds,True,128692,36450,8630,1252,1.5384615384615385
1010,I'm With Her,True,5327,8847,1328,383,3.2698961937716264
1011,Dillon Francis,True,1052661,124934,15598,1799,33.7037037037037
1012,The-Dream,True,399454,85528,20393,3082,2.7763713080168775
1013,Earl Sweatshirt,True,2187581,1812303,444498,10307,4.15
1014,Lil Xan,True,532159,731771,100204,8568,3.9565217391304346
1015,Stick Figure,True,28293,2418,681,4531,0.867005076142132
1016,The Mowgli's,True,36316,4541,453,12989,7.457943925233645
1017,Meshuggah,True,246070,8268,1682,1274,1.9209302325581394
1018,JoJo,True,767769,155238,26890,29511,6.608938547486034
1019,Brian Fallon,True,162442,222742,62869,10668,23.655172413793103
1020,Empire Of The Sun,True,65095,14270,3298,1276,1.9297297297297298
1021,TesseracT,True,48106,3810,634,9968,2.90625
1022,Natalia Jimenez,True,569233,10655,2382,15285,27.16
1023,David Cook,True,289892,25429,6250,3880,2.8
1024,Korn,True,1259967,232693,50402,2506,2.1555915721231766
1025,Stone Sour,True,429557,103414,13211,1723,5.6798245614035086
1026,Vertical Church Band,False,0,0,0,0,0.0
1027,Calexico,True,11877,2310,337,3053,8.244444444444444
1028,Faith No More,True,58488,18810,9618,308,1.4583333333333333
1029,Dario,True,178526,25016,1424,7901,8.664335664335665
1030,St. Paul & The Broken Bones,True,24640,3197,682,170,4.832258064516129
1031,Jon Batiste,True,46294,31930,3846,8327,9.275
1032,CHVRCHES,True,358047,99575,12814,597,8.38888888888889
1033,MAGIC!,True,263814,22024,5344,6350,2.5620915032679736
1034,Whitesnake,True,211528,18951,1722,82553,233.33333333333334
1035,Devin Dawson,True,16577,9068,1181,4908,19.758064516129032
1036,Sleigh Bells,True,44987,16540,4560,284,1.009009009009009
1037,This Wild Life,True,139039,2445,135,18056,33.2
1038,Ugly God,True,1013943,2246776,1111299,744,0.4827586206896552
1039,Drew Baldridge,True,16559,14029,1795,9694,9.047619047619047
1040,Perry Como,False,0,0,0,0,0.0
1041,Coheed And Cambria,True,112167,49337,7642,7102,7.224
1042,Conor Oberst,True,29703,7899,1303,1065,0.9932432432432432
1043,Tracy Lawrence,True,84972,10301,1259,7019,5.409090909090909
1044,Jim Croce,False,0,0,0,0,0.0
1045,Brooks & Dunn,True,146829,6556,1590,659,0.4158415841584158
1046,My Morning Jacket,True,101823,7431,1348,2918,1.051155115511551
1047,Clutch,True,41763,7510,1414,2370,2.956896551724138
1048,Damien,True,110620,3339,592,15752,32.55813953488372
1049,Gene Autry,False,0,0,0,0,0.0
1050,Freddie Gibbs,True,189512,23463,7028,22507,11.25
1051,Seether,True,273165,44579,6117,2280,5.090909090909091
1052,Thundercat,True,179712,215467,33769,21210,6.391304347826087
1053,Lamb Of God,True,746473,69861,14329,4008,4.452
1054,Hollywood Undead,True,314802,61280,12417,5043,3.8518518518518516
1055,Mitski,True,94557,432526,48067,12392,4.1525423728813555
1056,Jewel,True,391449,19589,2872,15455,12.551724137931034
1057,Chloe Kohanski,True,50029,23701,1761,1600,9.02803738317757
1058,Juicy J Wiz Khalifa,False,0,0,0,0,0.0
1059,Destiny's Child,True,42095,132961,39355,586,1.492343934040047
1060,Meghan Linsey,True,49945,2243,281,11706,5.301470588235294
1061,Nothing,True,918345,7150,2034,31299,126.0
1062,Dave East,True,222979,43813,17082,68855,1.8007246376811594
1063,Rico Love,True,202002,901,368,31240,4.9765625
1064,Deftones,True,391503,114234,19759,2334,2.462962962962963
1065,A Day To Remember,True,979284,175300,29451,3696,2.8253968253968256
1066,Nate Ruess,True,37082,51288,15019,296,1.0440677966101695
