Artistes;followers;posts
tinchystryderftchipmunk;;
offaiah;6625.0;292.0
rudimentalftjohnnewman;;
watermat;10.0;1.0
tomzanettiftsadieama;;
rudimental/newman/clare;;
alexisjordan;1353.0;273.0
n-dubz;;
chvrches;256333.0;224.0
chase&statusftmoko;;
fettywapftremyboyz;;
katyperryftnickiminaj;;
garybarlow;1057.0;220.0
publicenemy;;
liluzivert;7877365.0;4.0
samfeldtftkimberlyanne;;
arianagrandeftiggyazalea;;
cher;1022295.0;165.0
cleanbanditftlouisajohnson;;
snowpatrol;103687.0;294.0
swedishhousemafia;520335.0;4.0
stormzyftmnek;;
fleureast;471974.0;699.0
timberg;707.0;206.0
kesha;6903.0;10.0
justinbieberftbigsean;;
matoma&beckyhill;;
devlinftyasmin;;
brettdomino;176.0;5.0
loickessien;14861.0;106.0
